"Site","Tag","Species","Family","WSG","HOM","DBH","Ht","Notes","ID","AIC1","AIC2","AIC3","AIC4","AIC5","range.iso","b1.hom","b1.iso","range.hom","iso"
"AMA","0X0089","Parkia multijuga","Fabaceae-mimosoideae",0.399,3.36,88.1,34.6,"","AMA-0X0089",TRUE,FALSE,TRUE,FALSE,FALSE,3.33439537886861,0.00265867740775902,0.00265867740775902,3.33439537886861,0.988096478445285
"AMA","0G0380","Parkia multijuga","Fabaceae-mimosoideae",0.399,2.71,77,35.23,"","AMA-0G0380",TRUE,FALSE,TRUE,FALSE,FALSE,2.04422272722705,0.0064203165392394,0.0064203165392394,2.04422272722705,0.95540805970872
"AMA","0N0353","Parkia multijuga","Fabaceae-mimosoideae",0.399,3.63,76.4,32.43,"","AMA-0N0353",TRUE,FALSE,TRUE,FALSE,FALSE,3.54857948900383,0.0222639160881638,0.0229285402850682,3.33426484370927,0.981281175235411
"AMA","0R0454","Dipteryx magnifica","Fabaceae-papilionoideae",0.678611364167478,4.28,65.9,34.23,"","AMA-0R0454",TRUE,FALSE,TRUE,FALSE,FALSE,2.79504995587662,0.0052688032053505,0.0052688032053505,2.79504995587662,0.979337953928409
"AMA","0R0201","Swartzia oraria","Fabaceae-papilionoideae",0.678611364167478,4.35,40.2,24.83,"","AMA-0R0201",TRUE,TRUE,TRUE,FALSE,FALSE,3.54855880225256,0.032402869507244,0.0496516114241225,1.28993332921053,0.827844974173617
"AMA","0E0541","Vitex orinocensis","Lamiaceae",0.526667,6.48,82.5,27.03,"","AMA-0E0541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMA","0O0391","Vitex orinocensis","Lamiaceae",0.526667,3.89,66.2,25.43,"","AMA-0O0391",TRUE,FALSE,FALSE,FALSE,FALSE,3.55301262370739,0.0312514573395157,0.0567583458472131,2.04348199130325,0.910688260514926
"AMA","0B0279","Eschweilera coriacea","Lecythidaceae",0.852083,4.62,29.7,23,"","AMA-0B0279",TRUE,TRUE,TRUE,FALSE,FALSE,3.46815823690344,-0.009430932917978,0.054532950040286,1.88999166613267,0.95902981964303
"AMA","0D0527","Eschweilera coriacea","Lecythidaceae",0.852083,1.97,34.4,24.43,"","AMA-0D0527",TRUE,TRUE,TRUE,FALSE,FALSE,2.26001981753253,0.0500894612743657,0.0460323459509963,1.8333060305258,0.965196235561424
"AMA","0T0248","Eschweilera coriacea","Lecythidaceae",0.852083,3.05,31.8,27.23,"","AMA-0T0248",TRUE,TRUE,TRUE,FALSE,FALSE,3.3339246134399,0.0333838809176157,0.0486081577314701,2.69452068167112,0.976466048296243
"AMA","0G0189","Eschweilera coriacea","Lecythidaceae",0.852083,3.65,38.5,25.6,"","AMA-0G0189",TRUE,FALSE,TRUE,FALSE,FALSE,1.5050072503576,0.0189007393113281,0.00855081906068506,1.07503541603625,0.9744781008522
"AMA","0H0400","Eschweilera coriacea","Lecythidaceae",0.852083,3.75,64.4,33.83,"with 0H0401","AMA-0H0400",TRUE,FALSE,TRUE,FALSE,FALSE,1.82772361144818,0.00863378284011565,0.0515310279475205,0.429988208698413,0.950063668488024
"AMA","0Q0190","Eschweilera coriacea","Lecythidaceae",0.852083,3.57,28.6,19.43,"","AMA-0Q0190",FALSE,FALSE,FALSE,TRUE,FALSE,1.50495273571611,0.0381816854452786,0.0381816854452786,1.50495273571611,0.946882148273234
"AMA","0C0258","Eschweilera coriacea","Lecythidaceae",0.852083,4.95,43.1,24.63,"","AMA-0C0258",TRUE,FALSE,TRUE,FALSE,FALSE,3.35334552080618,-0.00363040977361498,0.017473015140353,3.15066418896029,0.954962241011326
"AMA","0M0030","Eschweilera itayensis","Lecythidaceae",0.828119,4.1,61.434,32.23,"","AMA-0M0030",TRUE,TRUE,TRUE,FALSE,FALSE,2.90196330023471,0.025059787179349,0.0224530717527436,0.430055684102674,0.955746809095165
"AMA","0L0502","Eschweilera coriacea","Lecythidaceae",0.852083,3.54,57.5,21.6,"","AMA-0L0502",TRUE,FALSE,TRUE,FALSE,FALSE,2.68908169347962,0.0434702074257215,0.0434702074257215,2.68908169347962,0.946036238714152
"AMA","0A0212","Eschweilera coriacea","Lecythidaceae",0.852083,5.26,43.1,28.23,"","AMA-0A0212",TRUE,FALSE,TRUE,FALSE,FALSE,1.68011194944149,-0.0148553743162729,0.00527124039364912,0.630080872916667,0.955331455056388
"AMA","0S0264","Eschweilera coriacea","Lecythidaceae",0.852083,4,48,26.83,"","AMA-0S0264",TRUE,FALSE,TRUE,FALSE,FALSE,1.93503636100108,-0.0392330932481997,-0.0273043193794139,1.72002123606061,0.935528202371979
"AMA","0U0359","Eschweilera coriacea","Lecythidaceae",0.852083,3.6,30.9,19.03,"","AMA-0U0359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMA","0S0081","Eschweilera itayensis","Lecythidaceae",0.828119,3.1,81,32.6,"","AMA-0S0081",TRUE,FALSE,TRUE,FALSE,FALSE,1.7199988824354,0.0500029195821274,0.0500029195821274,1.7199988824354,0.907939206443876
"AMA","0G0372","Eschweilera coriacea","Lecythidaceae",0.852083,2.42,46.6,35.23,"","AMA-0G0372",TRUE,TRUE,TRUE,FALSE,FALSE,3.54943825477444,0.0308215337805803,0.0308215337805803,3.54943825477444,0.958355228924229
"AMA","0N0151","Eschweilera itayensis","Lecythidaceae",0.828119,5.99,68.8,28.43,"Interrupted by rain- finished later","AMA-0N0151",FALSE,FALSE,TRUE,FALSE,FALSE,0,0.128883034364834,0.128883034364834,0,0.896124469402713
"AMA","0P0408","Eschweilera itayensis","Lecythidaceae",0.828119,3.05,46.059,24.8,"","AMA-0P0408",TRUE,FALSE,TRUE,FALSE,FALSE,3.551887386507,0.0460667993967507,0.0455745533301137,3.33512059547826,0.963011126301064
"AMA","0C0130","Eschweilera gigantea","Lecythidaceae",0.78,5.05,51.3,35.8,"","AMA-0C0130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMA","0M0513","Eschweilera gigantea","Lecythidaceae",0.78,2.08,45.3,35.83,"Leaning ~ 45 degrees","AMA-0M0513",TRUE,TRUE,TRUE,TRUE,FALSE,3.54968594020008,0.0297321856905199,0.0324073864787651,3.12021635985994,0.976818867300236
"AMA","0V0062","Eschweilera itayensis","Lecythidaceae",0.828119,4.2,82,33.23,"","AMA-0V0062",TRUE,FALSE,TRUE,FALSE,FALSE,2.14995672201002,0.00251862884891648,0.00307520915695481,1.93495219151935,0.916642494526956
"AMA","0T0368","Eschweilera itayensis","Lecythidaceae",0.828119,2.05,46.8,27.03,"","AMA-0T0368",TRUE,FALSE,TRUE,FALSE,FALSE,3.33401557779348,0.027608020292754,0.0268163006084996,2.90458423129545,0.982175529663803
"AMA","0F0468","Eschweilera coriacea","Lecythidaceae",0.852083,4.51,35,20.03,"","AMA-0F0468",TRUE,FALSE,TRUE,FALSE,FALSE,3.33317002458686,0.227164231463698,0.0179238479783669,0,0.931515983301897
"AMA","0I0439","Eschweilera coriacea","Lecythidaceae",0.852083,3.25,35.7,25.43,"","AMA-0I0439",FALSE,FALSE,FALSE,TRUE,FALSE,0.645011970041051,-0.0234970426859169,-0.0234970426859169,0.645011970041051,0.984477143755034
"AMA","0N0413","Eschweilera coriacea","Lecythidaceae",0.852083,2.91,34.3,24.83,"","AMA-0N0413",TRUE,FALSE,TRUE,TRUE,FALSE,3.55090307366251,0.0271922132291489,0.0557520899624366,2.14998884752137,0.970187257474997
"AMA","0Q0327","Eschweilera coriacea","Lecythidaceae",0.852083,2.25,34.3,24.03,"","AMA-0Q0327",TRUE,TRUE,TRUE,FALSE,FALSE,1.83054155972493,0.0313194631979109,0.0313194631979109,1.83054155972493,0.967971153691178
"AMA","0D0083","Eschweilera rufifolia","Lecythidaceae",0.828119,4.36,43.7,29.7,"","AMA-0D0083",TRUE,FALSE,TRUE,FALSE,FALSE,3.55126898127184,0.0173875197893609,0.0234907308627369,3.12212746892279,0.965312813547962
"AMA","0A0037","Apeiba tibourbou","Malvaceae",0.2,1.95,49.083,20,"","AMA-0A0037",TRUE,FALSE,TRUE,FALSE,FALSE,1.18621851735011,-0.0649340563506949,0.00398296164663802,0.214992160093071,0.733744980572162
"AMA","0Q0301","Pachira insignis","Malvaceae",0.384,2.2,60.9,28.43,"","AMA-0Q0301",TRUE,FALSE,TRUE,FALSE,FALSE,2.47518203748989,0.0702994211746747,0.0702994211746747,2.47518203748989,0.98842483833459
"AMA","0D0369","Sterculia apeibophylla","Malvaceae",0.47,5.68,40.3,24.6,"","AMA-0D0369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMA","0K0110","Mollia gracilis","Malvaceae",0.49,2.338,42.717,29.03,"","AMA-0K0110",FALSE,FALSE,FALSE,FALSE,TRUE,1.39145435331866,-0.0580842097007492,0.10699326201339,0.645029712617395,0.933558541752947
"AMA","0S0029","Ceiba pentandra","Malvaceae",0.305149,3.6,77.3,33.63,"","AMA-0S0029",TRUE,FALSE,TRUE,FALSE,FALSE,3.12160125541975,0.0424588761280705,0.0424588761280705,3.12160125541975,0.931401549429966
"AMA","0G0566","Guarea trunciflora","Meliaceae",0.560551,5.88,54.3,24.43,"","AMA-0G0566",FALSE,FALSE,FALSE,FALSE,TRUE,2.26465094688609,0.0114410934671839,0.0495202935407647,0.214820492148394,0.971797207305027
"AMA","0L0291","Brosimum parinarioides","Moraceae",0.630625,1.52,83.2,37.23,"","AMA-0L0291",TRUE,FALSE,TRUE,FALSE,FALSE,3.33533053810227,0.0145021033480146,0.0145021033480146,3.33533053810227,0.983469752775809
"AMA","0W0197","Brosimum lactescens","Moraceae",0.6556,1.75,36.732,18.63,"","AMA-0W0197",TRUE,FALSE,FALSE,FALSE,FALSE,2.9069806878736,0.085975777219992,0.085975777219992,2.9069806878736,0.972477917713758
"AMA","0C0486","Pseudolmedia laevis","Moraceae",0.618444,1.72,32.627,24.63,"","AMA-0C0486",TRUE,FALSE,TRUE,FALSE,FALSE,1.60809313465158,0.0918385518029581,0.103243720919031,1.18818378673557,0.967778720918616
"AMA","0W0444","Sorocea steinbachii","Moraceae",0.608333,2.9,27.6,19.03,"","AMA-0W0444",TRUE,TRUE,TRUE,FALSE,FALSE,1.72000551104167,0.0941302574444375,0.0941302574444375,1.72000551104167,0.903771820391539
"AMA","0O0051","Pseudolmedia laevis","Moraceae",0.618444,2.32,51.6,31.2,"","AMA-0O0051",FALSE,FALSE,TRUE,FALSE,FALSE,0.215000809117125,0.0126131591051733,0.0126131591051733,0.215000809117125,0.967094128347597
"AMA","0D0001","Castilla ulei","Moraceae",0.437,1.73,36.9,23.83,"","AMA-0D0001",TRUE,FALSE,TRUE,FALSE,FALSE,3.55107737153704,0.0350478270007211,0.0338791282120236,3.33725937939796,0.986722767006913
"AMA","0K0261","Pseudolmedia laevis","Moraceae",0.618444,2.44,44.9,34.23,"","AMA-0K0261",TRUE,FALSE,TRUE,FALSE,FALSE,2.69020349926614,0.0694745314072996,0.0694745314072996,2.69020349926614,0.920946746678839
"AMA","0M0451","Brosimum potabile","Moraceae",0.530615171460801,1.51,59.59,29.6,"","AMA-0M0451",TRUE,TRUE,TRUE,FALSE,FALSE,3.33487442592622,0.037997495290058,0.037997495290058,3.33487442592622,0.987785027462126
"AMA","0K0486","Virola pavonis","Myristicaceae",0.586667,3.27,30.3,25.83,"","AMA-0K0486",TRUE,FALSE,TRUE,FALSE,FALSE,2.20702540110329,0.0216554465434993,0.0234158647902528,1.99739444520513,0.960259240874028
"AMA","0W0568","Virola pavonis","Myristicaceae",0.586667,1.69,28.266,23.03,"","AMA-0W0568",TRUE,FALSE,TRUE,FALSE,FALSE,1.61006676838949,0.0622907556618247,0.0888104385046638,1.2900034116342,0.962015129643169
"AMA","0Y0610","Virola pavonis","Myristicaceae",0.586667,2.17,35.3,24.23,"","AMA-0Y0610",TRUE,FALSE,TRUE,FALSE,FALSE,3.12011908960256,0.0386658449843021,0.0446563135712838,2.68998784386956,0.966190990183613
"AMA","0C0543","Osteophloeum platyspermum","Myristicaceae",0.465857,5.42,57.232,34.6,"","AMA-0C0543",TRUE,FALSE,TRUE,FALSE,FALSE,1.93507588915465,0.0141693763157098,0.015628684933543,1.28993672729701,0.936861944077274
"AMA","0P0015","Virola pavonis","Myristicaceae",0.586667,2.35,47.2,29.23,"","AMA-0P0015",TRUE,FALSE,TRUE,FALSE,FALSE,2.90457266588756,0.0168749258359864,0.0168749258359864,2.90457266588756,0.933432394197455
"AMA","0K0516","Virola duckei","Myristicaceae",0.473016,3.84,60.2,33.43,"","AMA-0K0516",TRUE,TRUE,TRUE,FALSE,FALSE,3.33366856456612,0.0364777120108456,0.0364777120108456,3.33366856456612,0.964090556999582
"AMA","0E0400","Iryanthera laevis","Myristicaceae",0.615,6.22,49.465,21.63,"","AMA-0E0400",TRUE,FALSE,TRUE,FALSE,FALSE,3.22500636447312,0.012858640570321,0.0144407545980659,1.93499962497312,0.929546324588856
"AMA","0I0429","Minquartia guianensis","Olacaceae",0.786714,2.32,25.3,17.43,"Missing tag","AMA-0I0429",TRUE,FALSE,TRUE,FALSE,TRUE,2.47199414947115,0.00246790922730476,0.0954549141514597,1.29001648194079,0.96526123659718
"AMA","0O0210","Minquartia guianensis","Olacaceae",0.786714,2.75,26.4,16.83,"","AMA-0O0210",FALSE,FALSE,FALSE,FALSE,TRUE,0.973076219323362,-0.0163454649198277,0.0657432005862517,0.645037312092593,0.96653047958998
"AMA","0N0571","Richeria sp.","Phyllanthaceae",0.612984479564033,1.6,57.4,32,"","AMA-0N0571",TRUE,FALSE,TRUE,FALSE,FALSE,1.61420323744031,0.0508324369691229,0.0508324369691229,1.61420323744031,0.961076291008214
"AMA","0A0236","Chimarrhis glabriflora","Rubiaceae",0.7115,1.85,31,29,"","AMA-0A0236",TRUE,TRUE,TRUE,FALSE,FALSE,2.20971176296537,0.032483321004067,0.032483321004067,2.20971176296537,0.951687970669086
"AMA","0K0394","Faramea glandulosa","Rubiaceae",0.587889,2.39,21.5,16.03,"with 0K0395","AMA-0K0394",TRUE,FALSE,FALSE,FALSE,FALSE,3.11939344337782,0.0586306182821855,0.0586306182821855,3.11939344337782,0.942084678558393
"AMA","0D0476","Meliosma sp.","Sabiaceae",0.495942955223881,4.8,53,34.63,"","AMA-0D0476",TRUE,TRUE,TRUE,FALSE,FALSE,1.93323122296189,0.112945548373632,0.0297915557202298,0.21049653547722,0.952768529448318
"AMA","0J0498","Banara nitida","Salicaceae",0.6015,3.53,35.9,21.8,"","AMA-0J0498",TRUE,FALSE,TRUE,FALSE,FALSE,3.54983229486932,0.0549119097666271,0.0536755790118557,2.90142074578479,0.920552929784169
"AMA","0K0378","Pouteria williamii","Sapotaceae",0.714372,1.7,22.5,21.43,"","AMA-0K0378",TRUE,FALSE,TRUE,FALSE,FALSE,2.2635524178979,0.109849577582035,0.109849577582035,2.2635524178979,0.967129834297492
"AMA","0N0277","Micropholis sp.1","Sapotaceae",0.705353925143954,3.63,44.2,28.6,"","AMA-0N0277",TRUE,FALSE,TRUE,FALSE,FALSE,3.55022236476691,0.00496135026946301,0.0260978986114033,3.01004182292464,0.956603979984393
"AMA","0I0276","Pouteria cladantha","Sapotaceae",0.942333,1.69,31.1,24.2,"","AMA-0I0276",TRUE,FALSE,TRUE,FALSE,FALSE,2.9060367623547,0.0640456600836012,0.0640456600836012,2.9060367623547,0.931997819633581
"AMA","0Y0252","Pouteria guianensis","Sapotaceae",0.9295,3.8,53.4,25.83,"","AMA-0Y0252",TRUE,FALSE,TRUE,FALSE,FALSE,2.25997491157651,0.0602023551079384,0.0371395799552275,0.859963286743256,0.91868422231282
"AMA","0D0392","Pouteria baehniana","Sapotaceae",0.714372,1.6,51.2,24.43,"","AMA-0D0392",TRUE,FALSE,TRUE,FALSE,FALSE,3.33106704130912,0.0692821112740453,0.0692821112740453,3.33106704130912,0.946425009672734
