"site","AGB_Uncorrected","AGB_MeasTaper","AGB_FullModel_Mean","AGB_FullModel_Min95","AGB_FullModel_Max95","AGB_Cross3Pr_Mean","AGB_Cross3Pr_Min95","AGB_Cross3Pr_Max95","AGB_Cross2Pr_Mean","AGB_Cross2Pr_Min95","AGB_Cross2Pr_Max95","AGB_CrossMed_Mean","AGB_CrossMed_Min95","AGB_CrossMed_Max95","AGB_MeasTaper_Std","AGB_FullModel_Mean_Std","AGB_FullModel_Min95_Std","AGB_FullModel_Max95_Std","AGB_Cross3Pr_Mean_Std","AGB_Cross3Pr_Min95_Std","AGB_Cross3Pr_Max95_Std","AGB_Cross2Pr_Mean_Std","AGB_Cross2Pr_Min95_Std","AGB_Cross2Pr_Max95_Std","AGB_CrossMed_Mean_Std","AGB_CrossMed_Min95_Std","AGB_CrossMed_Max95_Std"
"AMA",236767.417081311,269855.479999539,272396.166046656,265565.21547762,279143.601813706,275098.5708979,269955.25872257,280951.130085923,278911.449366774,273675.263614572,284952.972977291,272929.044146938,265658.854091954,280280.369245383,1.1397492244757,1.15047994949875,1.12162906007637,1.17897810963508,1.16189370264332,1.14017064531249,1.18661230311702,1.17799760121128,1.15588228730216,1.20351430315021,1.15273058899489,1.12202454783177,1.18377930840513
"BCI",311666.745051315,357775.97696429,349334.570186451,336275.72650124,361694.294521448,348942.889772057,338220.040845569,360108.219976052,348928.540527855,337993.773304076,360415.567950952,378000.716321315,365950.54073275,389510.362750487,1.14794402240567,1.12085930158809,1.07895927891143,1.16051616113839,1.11960257330183,1.08519771908897,1.15542715318172,1.11955653295768,1.08447172715981,1.15641329616867,1.21283621792591,1.17417256265983,1.24976555546969
"BKT",160439.523391521,170299.174385546,170601.323466449,167278.108319609,173189.114324559,171889.179774563,170200.59960485,173596.89404144,172339.069867153,170555.241000115,174048.382160263,171946.594249582,169845.173528483,173981.454544579,1.06145400326306,1.06333726166794,1.04262406658614,1.07946664676836,1.07136431311318,1.06083959866615,1.08200828805637,1.07416842324191,1.06305003527035,1.08482235848789,1.07172217054012,1.05862427124026,1.08440520681436
"HKK",389151.483549178,447596.675028139,435979.791505483,426143.554029104,447505.41344783,428032.279384534,421814.289015197,434329.629774673,428676.61649559,422143.506551889,434935.144304374,421553.009211652,412266.635676614,430249.047918181,1.15018622297395,1.12033439402368,1.0950582794714,1.14995170869309,1.09991172455711,1.08393339572581,1.11609398431032,1.10156747338062,1.08477938385796,1.11764997100264,1.08326198673833,1.0593988539286,1.10560814003375
"KCH",399316.453254843,451739.53341046,435851.577667259,421970.479753721,448847.355835301,435838.275872651,424808.065431615,446965.44531566,441561.113414743,430990.898989468,452561.794370705,467886.826126995,455408.141069282,480058.881427815,1.1312820439236,1.09149416237327,1.05673201370548,1.12403922296898,1.09146085096198,1.063838121292,1.11932639307103,1.10579243558727,1.07932166450054,1.13334121517373,1.17171937773471,1.14046926280456,1.20220160605665
