"Tag","Site","ht","perim","area","d","iso.quo","ID"
"0A0037","AMA",1.13580627521327,1.62400524988715,0.178565812712258,0.512329452110387,0.850811440556145,"AMA-0A0037"
"0A0037","AMA",1.35261876573248,1.64277435948644,0.182196345297504,0.519219567932809,0.848386391629042,"AMA-0A0037"
"0A0037","AMA",1.67703008016529,1.55420635067576,0.165035639233581,0.4927025965383,0.858559197949584,"AMA-0A0037"
"0A0037","AMA",1.8920583708908,1.58451989507897,0.159126710531106,0.496873895473901,0.796448238567029,"AMA-0A0037"
"0A0037","AMA",2.10703263247031,1.65374163366699,0.159687381482908,0.509568897606275,0.733744980572162,"AMA-0A0037"
"0A0037","AMA",2.32202479256338,1.69121347085163,0.164056097851073,0.516732525289332,0.720784407353681,"AMA-0A0037"
"0A0212","AMA",4.16564414782609,1.47716558992316,0.16341832132186,0.469962708204369,0.941135692488592,"AMA-0A0212"
"0A0212","AMA",4.37558982680851,1.46549038526699,0.163737814386773,0.466480077737776,0.95806043630989,"AMA-0A0212"
"0A0212","AMA",4.58565453142857,1.48305664469555,0.161400887150242,0.472064132287398,0.922147309506982,"AMA-0A0212"
"0A0212","AMA",4.79559214844444,1.43616711132992,0.154457319182253,0.45714618974833,0.941040690674314,"AMA-0A0212"
"0A0212","AMA",5.00562171166667,1.44220500537676,0.157115394884639,0.459068111115169,0.949236891132967,"AMA-0A0212"
"0A0212","AMA",5.21562979454545,1.43896564972665,0.156342315480798,0.458035744290737,0.948823756903065,"AMA-0A0212"
"0A0212","AMA",5.42562090333333,1.43766688466926,0.157130593908339,0.457623582429276,0.955331455056388,"AMA-0A0212"
"0A0212","AMA",5.63561710290323,1.43524713702248,0.155600503188737,0.456853352831237,0.949221316801364,"AMA-0A0212"
"0A0212","AMA",5.84562301740741,1.46031058647193,0.156083778853168,0.464831296572865,0.919765610952575,"AMA-0A0212"
"0A0212","AMA",6.05570177625,1.44436577957903,0.157369901023635,0.459755906905563,0.94793193574458,"AMA-0A0212"
"0A0236","AMA",1.19879219280467,1.93409584351317,0.154123988653039,0.549395624797286,0.517754784241154,"AMA-0A0236"
"0A0236","AMA",1.41034861293233,1.47579238678663,0.142234643470401,0.457914370951234,0.820662750213167,"AMA-0A0236"
"0A0236","AMA",1.62487060907895,1.376829124145,0.137618746966067,0.437457375049829,0.91227836408678,"AMA-0A0236"
"0A0236","AMA",1.8339956687931,1.27202208087412,0.121002243569484,0.404704014326318,0.939753574774776,"AMA-0A0236"
"0A0236","AMA",2.04041884642857,1.26456898196809,0.121107144921835,0.402524808721815,0.951687970669086,"AMA-0A0236"
"0A0236","AMA",2.25196889055556,1.25389139134743,0.119794498590038,0.398931887354175,0.957473795062138,"AMA-0A0236"
"0A0236","AMA",2.57012713897436,1.19301677827901,0.108751229887079,0.379749034909344,0.9601762028636,"AMA-0A0236"
"0A0236","AMA",2.780116208125,1.19290913842355,0.108038174598575,0.379714772079204,0.954052712613281,"AMA-0A0236"
"0A0236","AMA",2.99014488305556,1.20457848987694,0.110908438495513,0.383429242012172,0.960515212157159,"AMA-0A0236"
"0A0236","AMA",3.20013979542857,1.18157550526444,0.106369121537876,0.37610716459828,0.957419961933125,"AMA-0A0236"
"0A0236","AMA",3.41015610714286,1.17823323939572,0.10606135554923,0.375043288330011,0.960073530805733,"AMA-0A0236"
"0A0236","AMA",3.62010899135135,1.18678030832299,0.107495469774791,0.377763904867454,0.959089999691572,"AMA-0A0236"
"0A0236","AMA",3.83010732604167,1.17300648574002,0.103701586876928,0.373292094824582,0.947096952935411,"AMA-0A0236"
"0A0236","AMA",4.04014513918919,1.1598762786854,0.101842645058828,0.369200086255629,0.951297162381662,"AMA-0A0236"
"0A0236","AMA",4.25013060939394,1.17807813974099,0.104816267627491,0.374993918576567,0.949052768238754,"AMA-0A0236"
"0B0279","AMA",2.19974395819672,1.29723744443555,0.123796820751318,0.412901900030418,0.924443564976222,"AMA-0B0279"
"0B0279","AMA",2.40727456859649,1.2733231622606,0.119843861877812,0.405311350854355,0.928855979336636,"AMA-0B0279"
"0B0279","AMA",2.61896852666667,1.26263962890306,0.117298641153944,0.401910676567276,0.924578975053573,"AMA-0B0279"
"0B0279","AMA",2.82515973536585,1.26772070888871,0.119065074709302,0.403528034559201,0.930994431132185,"AMA-0B0279"
"0B0279","AMA",3.03574334428571,1.29404354603644,0.123755517710894,0.411906853855729,0.928702582385255,"AMA-0B0279"
"0B0279","AMA",3.24719432603774,1.30467584493898,0.128274374894943,0.415291219709268,0.946988112347787,"AMA-0B0279"
"0B0279","AMA",3.45459422769231,1.25161457830225,0.119308494329018,0.398401293965363,0.957061845776096,"AMA-0B0279"
"0B0279","AMA",3.67369049878049,1.26928974356728,0.120647077722078,0.404027473809154,0.941033598115248,"AMA-0B0279"
"0B0279","AMA",3.98534656263158,1.16596306491877,0.101965311963514,0.371137570488798,0.942524677737741,"AMA-0B0279"
"0B0279","AMA",4.19536036377778,1.06599134390178,0.0869290151718363,0.339315583350281,0.961318427199914,"AMA-0B0279"
"0B0279","AMA",4.40537955894737,1.0609235369633,0.0850619415068108,0.337702450300493,0.949679331206255,"AMA-0B0279"
"0B0279","AMA",4.61533242628571,1.03691136927928,0.0816273808651215,0.330059139937965,0.954030925952472,"AMA-0B0279"
"0B0279","AMA",4.82536089680851,1.00990993426886,0.0778372592896031,0.321464316233,0.95902981964303,"AMA-0B0279"
"0B0279","AMA",5.03530560772727,1.05376910928169,0.0851512510068995,0.335425125239448,0.963629241456687,"AMA-0B0279"
