"Site","Tag","Species","Family","WSG","HOM","DBH","Ht","Notes","ID","b1.hom","b1.iso","range.hom","range.iso","iso"
"AMA","0L0502","Eschweilera coriacea","Lecythidaceae",0.852083,3.54,57.5,21.6,"","AMA-0L0502",0.0434702074257215,0.0434702074257215,2.68908169347962,2.68908169347962,0.946036238714152
"AMA","0A0212","Eschweilera coriacea","Lecythidaceae",0.852083,5.26,43.1,28.23,"","AMA-0A0212",-0.0148553743162729,0.00527124039364912,0.630080872916667,1.68011194944149,0.955331455056388
"AMA","0S0264","Eschweilera coriacea","Lecythidaceae",0.852083,4,48,26.83,"","AMA-0S0264",-0.0392330932481997,-0.0273043193794139,1.72002123606061,1.93503636100108,0.935528202371979
"AMA","0S0081","Eschweilera itayensis","Lecythidaceae",0.828119,3.1,81,32.6,"","AMA-0S0081",0.0500029195821274,0.0500029195821274,1.7199988824354,1.7199988824354,0.907939206443876
"AMA","0G0372","Eschweilera coriacea","Lecythidaceae",0.852083,2.42,46.6,35.23,"","AMA-0G0372",0.0308215337805803,0.0308215337805803,3.54943825477444,3.54943825477444,0.958355228924229
"AMA","0P0408","Eschweilera itayensis","Lecythidaceae",0.828119,3.05,46.059,24.8,"","AMA-0P0408",0.0460667993967507,0.0455745533301137,3.33512059547826,3.551887386507,0.963011126301064
"AMA","0M0513","Eschweilera gigantea","Lecythidaceae",0.78,2.08,45.3,35.83,"Leaning ~ 45 degrees","AMA-0M0513",0.0297321856905199,0.0324073864787651,3.12021635985994,3.54968594020008,0.976818867300236
"AMA","0V0062","Eschweilera itayensis","Lecythidaceae",0.828119,4.2,82,33.23,"","AMA-0V0062",0.00251862884891648,0.00307520915695481,1.93495219151935,2.14995672201002,0.916642494526956
"AMA","0T0368","Eschweilera itayensis","Lecythidaceae",0.828119,2.05,46.8,27.03,"","AMA-0T0368",0.027608020292754,0.0268163006084996,2.90458423129545,3.33401557779348,0.982175529663803
"AMA","0F0468","Eschweilera coriacea","Lecythidaceae",0.852083,4.51,35,20.03,"","AMA-0F0468",0.227164231463698,0.0179238479783669,0,3.33317002458686,0.931515983301897
"AMA","0N0413","Eschweilera coriacea","Lecythidaceae",0.852083,2.91,34.3,24.83,"","AMA-0N0413",0.0271922132291489,0.0557520899624366,2.14998884752137,3.55090307366251,0.970187257474997
"AMA","0Q0327","Eschweilera coriacea","Lecythidaceae",0.852083,2.25,34.3,24.03,"","AMA-0Q0327",0.0313194631979109,0.0313194631979109,1.83054155972493,1.83054155972493,0.967971153691178
